time,open,high,low,close,volume
2020-10-02 04:30:00,86.21,87.47,86.21,87.47,497.0
2020-10-02 05:30:00,86.32,87.47,86.32,87.47,232.0
2020-10-02 05:45:00,87.0,87.0,87.0,87.0,100.0
2020-10-02 07:15:00,86.99,87.99,86.99,87.3,1554.0
2020-10-02 07:30:00,87.18,87.18,87.18,87.18,150.0
2020-10-02 08:00:00,87.18,87.18,87.0,87.0,1380.0
2020-10-02 08:15:00,86.8801,88.0,85.94,86.02,13737.0
2020-10-02 08:30:00,86.9434,86.9434,86.35,86.4,1547.0
2020-10-02 08:45:00,86.95,86.95,86.414,86.5,680.0
2020-10-02 09:00:00,86.719,86.72,86.5,86.5,5614.0
2020-10-02 09:15:00,86.4,86.47,86.0,86.4,8926.0
2020-10-02 09:30:00,86.0108,86.2,85.86,86.01,4859.0
2020-10-02 09:45:00,85.61,88.42,85.16,88.32,360991.0
2020-10-02 10:00:00,88.25,89.38,87.9012,89.014,149984.0
2020-10-02 10:15:00,88.77,91.18,88.56,91.1,241643.0
2020-10-02 10:30:00,90.95,91.5,90.57,91.335,167264.0
2020-10-02 10:45:00,91.26,91.76,90.6001,90.7014,185526.0
2020-10-02 11:00:00,90.705,91.68,90.56,91.32,123720.0
2020-10-02 11:15:00,91.23,92.25,91.02,92.0291,147784.0
2020-10-02 11:30:00,92.075,92.57,91.9,92.19,170408.0
2020-10-02 11:45:00,92.1,92.27,91.23,92.03,231204.0
2020-10-02 12:00:00,91.96,92.03,89.89,90.185,200624.0
2020-10-02 12:15:00,90.11,90.11,89.08,89.715,181273.0
2020-10-02 12:30:00,89.68,90.59,89.2636,89.93,186638.0
2020-10-02 12:45:00,89.905,90.1999,89.82,90.02,95262.0
2020-10-02 13:00:00,90.11,90.1798,89.77,89.9032,149064.0
2020-10-02 13:15:00,89.875,89.98,89.261,89.86,162209.0
2020-10-02 13:30:00,89.78,90.11,89.75,90.02,40420.0
2020-10-02 13:45:00,89.97,90.0524,89.5121,89.5375,97314.0
2020-10-02 14:00:00,89.5,90.0,89.15,89.76,161429.0
2020-10-02 14:15:00,89.815,90.37,89.815,89.96,77186.0
2020-10-02 14:30:00,89.97,90.19,89.88,89.88,41487.0
2020-10-02 14:45:00,89.93,90.0,89.35,89.67,84177.0
2020-10-02 15:00:00,89.64,90.13,89.55,90.0822,71199.0
2020-10-02 15:15:00,90.1,90.555,89.97,90.1,76539.0
2020-10-02 15:30:00,90.09,90.5,89.94,90.07,73446.0
2020-10-02 15:45:00,90.13,90.69,90.04,90.655,130991.0
2020-10-02 16:00:00,90.64,90.72,90.345,90.43,315693.0
2020-10-02 16:15:00,90.43,90.43,90.43,90.43,44360.0
2020-10-02 17:00:00,90.43,90.43,90.43,90.43,4402.0
2020-10-02 17:45:00,90.3,90.3,90.1,90.1,1288.0
2020-10-02 18:00:00,90.08,90.08,90.08,90.08,105.0
2020-10-02 18:15:00,90.3,90.31,90.3,90.31,490.0
2020-10-02 18:30:00,90.2,90.2,90.2,90.2,100.0
2020-10-02 18:45:00,90.2,90.2,90.1,90.1,215.0
2020-10-02 19:00:00,90.01,90.43,90.01,90.43,7940.0
2020-10-02 19:15:00,90.4,90.4,90.4,90.4,100.0
2020-10-02 19:45:00,90.4,90.4,90.4,90.4,200.0
2020-10-02 20:00:00,90.4,90.6,90.4,90.5,2607.0
2020-10-05 05:00:00,93.48,93.48,93.48,93.48,290.0
2020-10-05 05:45:00,92.25,92.25,92.25,92.25,450.0
2020-10-05 06:00:00,92.1,92.1,92.1,92.1,122.0
2020-10-05 06:30:00,92.6,92.6,92.6,92.6,150.0
2020-10-05 07:00:00,92.15,92.15,92.15,92.15,220.0
2020-10-05 07:15:00,92.57,92.57,92.57,92.57,395.0
2020-10-05 07:30:00,92.5,92.5,92.5,92.5,1965.0
2020-10-05 08:00:00,92.5,92.65,92.5,92.65,840.0
2020-10-05 08:15:00,92.89,93.25,92.89,93.25,2310.0
2020-10-05 08:30:00,93.0,93.0,92.4,93.0,6126.0
2020-10-05 08:45:00,93.0,93.0,93.0,93.0,349.0
2020-10-05 09:00:00,93.0,93.0,92.0303,92.0303,729.0
2020-10-05 09:15:00,92.97,92.97,92.97,92.97,150.0
2020-10-05 09:30:00,92.98,93.0,92.861,93.0,1070.0
2020-10-05 09:45:00,93.0,95.46,92.9,93.205,422695.0
2020-10-05 10:00:00,93.34,94.39,93.21,94.34,197661.0
2020-10-05 10:15:00,94.3436,95.05,94.0101,94.89,226584.0
2020-10-05 10:30:00,94.84,95.7752,94.53,95.23,226655.0
2020-10-05 10:45:00,95.26,96.08,94.92,95.666,185481.0
2020-10-05 11:00:00,95.53,95.955,95.2,95.92,93991.0
2020-10-05 11:15:00,95.82,95.82,94.1744,94.25,116065.0
2020-10-05 11:30:00,94.4,95.2,93.61,93.71,122105.0
2020-10-05 11:45:00,93.77,94.69,93.47,94.37,150114.0
2020-10-05 12:00:00,94.4277,94.99,94.27,94.95,48777.0
2020-10-05 12:15:00,94.945,95.34,94.55,95.25,69343.0
2020-10-05 12:30:00,95.25,95.6,94.99,95.555,79474.0
2020-10-05 12:45:00,95.6099,95.93,95.48,95.76,67422.0
2020-10-05 13:00:00,95.7895,96.7499,95.64,96.695,125844.0
2020-10-05 13:15:00,96.695,96.7,96.07,96.555,88206.0
2020-10-05 13:30:00,96.6,96.6,95.91,96.03,120743.0
2020-10-05 13:45:00,96.0,96.54,95.7352,96.5,96824.0
2020-10-05 14:00:00,96.42,96.45,95.34,96.075,113726.0
2020-10-05 14:15:00,96.02,96.75,95.82,96.5,83405.0
2020-10-05 14:30:00,96.4799,96.87,96.41,96.56,104290.0
2020-10-05 14:45:00,96.62,97.27,96.61,97.165,198347.0
2020-10-05 15:00:00,97.18,97.59,97.01,97.27,163889.0
2020-10-05 15:15:00,97.2966,97.47,96.71,96.755,142321.0
2020-10-05 15:30:00,96.755,96.92,96.47,96.684,135344.0
2020-10-05 15:45:00,96.68,97.57,96.58,97.52,144357.0
2020-10-05 16:00:00,97.5,98.42,97.48,98.04,485043.0
2020-10-05 16:15:00,98.05,98.51,98.05,98.2,36003.0
2020-10-05 16:30:00,98.05,98.35,97.78,98.26,4151.0
2020-10-05 16:45:00,98.24,98.5,98.24,98.5,1004.0
2020-10-05 17:00:00,98.25,98.25,98.25,98.25,140.0
2020-10-05 17:30:00,97.7,97.7,97.7,97.7,221.0
2020-10-05 17:45:00,98.0,98.04,98.0,98.04,1091.0
2020-10-05 18:30:00,98.25,98.25,98.0,98.1,312.0
2020-10-05 18:45:00,98.0,98.0,98.0,98.0,211.0
2020-10-05 19:00:00,98.0,98.0,98.0,98.0,201.0
2020-10-05 19:30:00,97.75,97.75,97.75,97.75,900.0
2020-10-05 20:00:00,98.0,98.0,98.0,98.0,935.0
2020-10-06 04:30:00,98.0,98.0,98.0,98.0,171.0
2020-10-06 05:45:00,97.8,97.8,97.8,97.8,188.0
2020-10-06 06:00:00,97.06,97.06,97.05,97.05,282.0
2020-10-06 06:15:00,96.83,96.83,96.83,96.83,300.0
2020-10-06 06:30:00,97.4,97.4,97.24,97.24,526.0
2020-10-06 06:45:00,97.75,97.75,97.75,97.75,1025.0
2020-10-06 07:00:00,97.75,97.75,97.75,97.75,206.0
2020-10-06 07:15:00,97.94,97.99,97.94,97.99,423.0
2020-10-06 07:30:00,97.75,97.75,97.75,97.75,143.0
2020-10-06 07:45:00,98.0,98.0,98.0,98.0,1619.0
2020-10-06 08:00:00,98.0,98.0,98.0,98.0,610.0
2020-10-06 08:15:00,98.579,98.579,97.24,98.06,2382.0
2020-10-06 08:30:00,98.0,98.25,98.0,98.25,373.0
2020-10-06 09:00:00,98.6,98.61,98.6,98.61,760.0
2020-10-06 09:15:00,98.51,98.99,98.07,98.68,7063.0
2020-10-06 09:30:00,98.08,98.5,98.0,98.17,4752.0
2020-10-06 09:45:00,98.06,99.6608,98.06,98.56,586463.0
2020-10-06 10:00:00,98.6,98.65,95.06,96.21,603041.0
2020-10-06 10:15:00,96.0671,96.71,95.52,95.82,279224.0
2020-10-06 10:30:00,95.8616,96.82,95.1,95.8198,229828.0
2020-10-06 10:45:00,95.8792,96.88,95.65,96.02,159024.0
2020-10-06 11:00:00,96.065,96.99,96.065,96.86,110137.0
2020-10-06 11:15:00,96.76,97.27,96.28,96.6525,127577.0
2020-10-06 11:30:00,96.63,96.875,95.43,96.04,125408.0
2020-10-06 11:45:00,96.13,97.4,96.11,97.345,110296.0
2020-10-06 12:00:00,97.3501,97.71,96.44,97.325,166696.0
2020-10-06 12:15:00,97.38,98.02,97.19,97.9928,120879.0
2020-10-06 12:30:00,97.9391,99.259,97.9391,99.085,112433.0
2020-10-06 12:45:00,99.0533,99.66,98.91,99.62,154734.0
2020-10-06 13:00:00,99.62,99.66,98.6901,98.99,95361.0
2020-10-06 13:15:00,99.0,99.51,98.68,99.0701,82574.0
2020-10-06 13:30:00,99.1342,99.615,98.96,99.28,147297.0
2020-10-06 13:45:00,99.2,99.75,99.18,99.74,61418.0
2020-10-06 14:00:00,99.74,99.76,98.9,99.21,154539.0
2020-10-06 14:15:00,99.24,99.95,99.15,99.9,118124.0
