Open,High,Low,Close,Volume,Dividends,Stock Splits
111.25,111.56999969482422,111.16000366210938,111.30329895019531,1126351,0,0
111.29000091552734,111.29000091552734,110.83000183105469,110.98999786376953,530649,0,0
111.01000213623047,111.12999725341797,110.87000274658203,110.88999938964844,490820,0,0
110.8949966430664,111.0,110.72779846191406,110.8405990600586,379446,0,0
110.84500122070312,110.98999786376953,110.68000030517578,110.9800033569336,675613,0,0
110.9800033569336,111.31999969482422,110.95999908447266,111.23999786376953,613388,0,0
111.25,111.29000091552734,111.02999877929688,111.07369995117188,347642,0,0
111.07489776611328,111.44000244140625,111.05500030517578,111.41999816894531,518819,0,0
111.41999816894531,111.43000030517578,111.19000244140625,111.30999755859375,243519,0,0
111.31999969482422,111.58000183105469,111.31500244140625,111.54000091552734,242760,0,0
111.52999877929688,111.59500122070312,111.29000091552734,111.44999694824219,321543,0,0
111.44999694824219,111.62000274658203,111.26000213623047,111.29000091552734,264806,0,0
111.29000091552734,111.3499984741211,111.0813980102539,111.12000274658203,297145,0,0
111.11499786376953,111.31500244140625,111.06999969482422,111.20999908447266,291560,0,0
111.19999694824219,111.22000122070312,111.0,111.05000305175781,275851,0,0
111.05000305175781,111.06999969482422,110.80000305175781,110.91999816894531,383652,0,0
110.93000030517578,110.95999908447266,110.69000244140625,110.75299835205078,308595,0,0
110.75499725341797,110.91999816894531,110.58000183105469,110.69000244140625,270923,0,0
110.69000244140625,110.72000122070312,110.30999755859375,110.36000061035156,271845,0,0
110.37000274658203,110.45999908447266,110.2300033569336,110.23999786376953,199979,0,0
110.23999786376953,110.38500213623047,110.22000122070312,110.36499786376953,329153,0,0
110.37000274658203,110.56999969482422,110.33999633789062,110.48999786376953,208608,0,0
110.5,110.73999786376953,110.44000244140625,110.7300033569336,172555,0,0
110.72000122070312,110.8550033569336,110.70999908447266,110.83999633789062,172058,0,0
110.84149932861328,110.91999816894531,110.7300033569336,110.87000274658203,187723,0,0
110.86000061035156,110.86000061035156,110.43000030517578,110.63999938964844,276954,0,0
110.66000366210938,110.83000183105469,110.58999633789062,110.66000366210938,160409,0,0
110.66200256347656,110.76000213623047,110.53990173339844,110.62449645996094,135061,0,0
110.62999725341797,110.63999938964844,110.38999938964844,110.44000244140625,141976,0,0
110.41000366210938,110.43000030517578,110.08000183105469,110.19999694824219,269586,0,0
110.20500183105469,110.27999877929688,110.08000183105469,110.13999938964844,160186,0,0
110.14219665527344,110.31999969482422,109.9800033569336,110.0199966430664,268307,0,0
110.01000213623047,110.20999908447266,109.93000030517578,110.125,215909,0,0
110.12999725341797,110.19000244140625,110.01000213623047,110.06999969482422,162386,0,0
110.05999755859375,110.25,110.01000213623047,110.22000122070312,162655,0,0
110.20999908447266,110.25,110.08000183105469,110.2300033569336,135048,0,0
110.2300033569336,110.29000091552734,110.16999816894531,110.23999786376953,193328,0,0
110.23999786376953,110.33999633789062,110.06999969482422,110.27999877929688,242535,0,0
110.29000091552734,110.41999816894531,110.28489685058594,110.39849853515625,146051,0,0
110.4000015258789,110.44999694824219,110.2300033569336,110.36000061035156,201921,0,0
110.36000061035156,110.5250015258789,110.36000061035156,110.5,163539,0,0
110.49500274658203,110.55500030517578,110.44999694824219,110.50399780273438,111438,0,0
110.51000213623047,110.5199966430664,110.18000030517578,110.45500183105469,232367,0,0
110.44999694824219,110.69999694824219,110.43000030517578,110.66999816894531,92666,0,0
110.66999816894531,110.76000213623047,110.625,110.70999908447266,113501,0,0
110.70999908447266,110.7249984741211,110.58999633789062,110.58999633789062,99139,0,0
110.62000274658203,110.73069763183594,110.55000305175781,110.66000366210938,98716,0,0
110.67500305175781,110.81999969482422,110.62000274658203,110.80000305175781,112132,0,0
110.80999755859375,110.84500122070312,110.69000244140625,110.82150268554688,123298,0,0
110.82499694824219,110.83999633789062,110.66000366210938,110.67500305175781,76948,0,0
110.67500305175781,110.69499969482422,110.54969787597656,110.55999755859375,97757,0,0
110.56999969482422,110.68319702148438,110.54350280761719,110.6449966430664,118982,0,0
110.66000366210938,110.83000183105469,110.65769958496094,110.80999755859375,84552,0,0
110.79499816894531,110.82499694824219,110.75,110.75669860839844,119994,0,0
110.75,110.77999877929688,110.61000061035156,110.6500015258789,90647,0,0
110.6447982788086,110.66999816894531,110.56500244140625,110.58000183105469,98429,0,0
110.56999969482422,110.69999694824219,110.54000091552734,110.67500305175781,78637,0,0
110.66999816894531,110.73999786376953,110.3499984741211,110.43000030517578,192595,0,0
110.43000030517578,110.57119750976562,110.33000183105469,110.44000244140625,292781,0,0
110.44999694824219,110.51499938964844,110.1500015258789,110.16999816894531,244737,0,0
110.16000366210938,110.31999969482422,110.12999725341797,110.25789642333984,178999,0,0
110.26000213623047,110.45500183105469,110.25,110.38999938964844,106575,0,0
110.38999938964844,110.47000122070312,110.36000061035156,110.43000030517578,100497,0,0
110.41999816894531,110.55000305175781,110.38999938964844,110.52999877929688,109791,0,0
110.51499938964844,110.55999755859375,110.4800033569336,110.51000213623047,103760,0,0
110.5,110.58000183105469,110.37999725341797,110.42500305175781,116524,0,0
110.41999816894531,110.44999694824219,110.30500030517578,110.38999938964844,109304,0,0
110.39219665527344,110.52999877929688,110.36499786376953,110.5,105684,0,0
110.4800033569336,110.58000183105469,110.44999694824219,110.56999969482422,143275,0,0
110.56500244140625,110.62999725341797,110.41000366210938,110.44000244140625,202577,0,0
110.44999694824219,110.54499816894531,110.38999938964844,110.44000244140625,130186,0,0
110.44000244140625,110.47000122070312,110.34100341796875,110.4000015258789,205035,0,0
