Open,High,Low,Close,Volume,Dividends,Stock Splits
301.67999267578125,303.4292907714844,301.67999267578125,303.11810302734375,3832908,0,0
303.1499938964844,303.1600036621094,301.610107421875,302.3299865722656,1417379,0,0
302.377197265625,304.25,302.2900085449219,304.1708984375,1823733,0,0
304.19000244140625,305.1199951171875,304.12860107421875,304.6400146484375,1714211,0,0
304.5627136230469,305.2900085449219,303.6099853515625,304.9200134277344,1478851,0,0
304.9306945800781,305.239990234375,304.43011474609375,304.5350036621094,1003756,0,0
304.54998779296875,305.1189880371094,304.260009765625,304.8599853515625,819010,0,0
304.8599853515625,305.489990234375,304.5400085449219,304.989990234375,1164201,0,0
304.94000244140625,305.1560974121094,304.0,304.3699951171875,839428,0,0
304.32000732421875,304.95001220703125,303.8999938964844,304.82000732421875,1105010,0,0
304.8399963378906,305.0,304.0,304.364990234375,836952,0,0
304.3699951171875,305.17999267578125,304.0199890136719,305.09051513671875,800957,0,0
305.0899963378906,305.20001220703125,304.6000061035156,304.7300109863281,812922,0,0
304.7200012207031,305.1000061035156,304.4800109863281,304.7099914550781,606356,0,0
304.7195129394531,304.75,303.54998779296875,304.0400085449219,893917,0,0
304.05999755859375,304.6000061035156,304.0,304.489990234375,671927,0,0
304.4800109863281,304.4809875488281,303.010009765625,303.1499938964844,837234,0,0
303.1199951171875,303.9158020019531,302.8999938964844,303.4599914550781,765817,0,0
303.5,303.6000061035156,302.2699890136719,302.45001220703125,849592,0,0
302.4599914550781,303.0,302.0,302.43109130859375,601156,0,0
302.44140625,303.17999267578125,302.1000061035156,303.17999267578125,519172,0,0
303.17498779296875,303.20001220703125,302.3517150878906,302.70001220703125,415454,0,0
302.7099914550781,303.0799865722656,302.3999938964844,303.0299072265625,393296,0,0
303.0299987792969,303.4800109863281,302.8399963378906,303.3900146484375,499999,0,0
303.3800048828125,303.8900146484375,303.0400085449219,303.7250061035156,518258,0,0
303.69000244140625,303.7099914550781,303.07000732421875,303.4700012207031,329382,0,0
303.45001220703125,303.80999755859375,302.92999267578125,303.07501220703125,358599,0,0
303.0400085449219,303.2850036621094,302.80999755859375,303.02239990234375,266120,0,0
303.0199890136719,303.1099853515625,302.32000732421875,302.45001220703125,409364,0,0
302.44000244140625,302.614990234375,301.6300048828125,302.1199951171875,708141,0,0
302.1199951171875,302.3500061035156,301.9200134277344,302.02520751953125,361528,0,0
302.0,302.6199951171875,301.57000732421875,301.625,525597,0,0
301.55999755859375,302.07000732421875,301.1199951171875,301.9849853515625,495309,0,0
301.9800109863281,302.25,301.56561279296875,301.70001220703125,367862,0,0
301.6700134277344,302.20001220703125,301.510009765625,302.114990234375,316526,0,0
302.1199951171875,302.5199890136719,301.9700012207031,302.5199890136719,315504,0,0
302.5,302.79998779296875,302.2799987792969,302.5799865722656,411593,0,0
302.5599060058594,303.20001220703125,301.9700012207031,303.1600036621094,499720,0,0
303.1499938964844,303.8599853515625,303.1499938964844,303.8399963378906,553297,0,0
303.8500061035156,303.8500061035156,303.04998779296875,303.17999267578125,429858,0,0
303.1615905761719,303.7799987792969,303.1615905761719,303.760009765625,368941,0,0
303.75,304.0719909667969,303.68438720703125,304.0,436173,0,0
304.010009765625,304.2900085449219,303.5115966796875,303.7004089355469,574353,0,0
303.7300109863281,304.2185974121094,303.6199951171875,304.04949951171875,345860,0,0
304.0199890136719,304.0400085449219,303.79998779296875,303.9798889160156,240897,0,0
303.9800109863281,304.2300109863281,303.739990234375,303.8716125488281,366364,0,0
303.8500061035156,304.05999755859375,303.3999938964844,303.8500061035156,322315,0,0
303.8550109863281,304.6199951171875,303.57501220703125,304.43499755859375,475201,0,0
304.4353942871094,304.6199951171875,304.1099853515625,304.6050109863281,382479,0,0
304.6099853515625,304.6199951171875,303.8800048828125,303.8999938964844,295898,0,0
303.8800048828125,304.1000061035156,303.3999938964844,303.4898986816406,295354,0,0
303.4757080078125,304.0,303.45001220703125,303.94000244140625,236986,0,0
303.9599914550781,304.1000061035156,303.7349853515625,303.94439697265625,268134,0,0
303.94000244140625,303.95001220703125,303.6000061035156,303.8399963378906,159350,0,0
303.8399963378906,303.8900146484375,303.3500061035156,303.45001220703125,237015,0,0
303.42999267578125,303.6400146484375,303.1000061035156,303.30999755859375,317277,0,0
303.3599853515625,303.8999938964844,303.07000732421875,303.7554016113281,297041,0,0
303.75,303.95001220703125,302.739990234375,303.0,502145,0,0
302.9599914550781,303.54998779296875,302.79998779296875,303.0299987792969,393575,0,0
303.0299987792969,303.45001220703125,302.875,302.9800109863281,271471,0,0
302.8999938964844,302.94000244140625,302.1499938964844,302.4194030761719,429228,0,0
302.42999267578125,303.19000244140625,302.4200134277344,303.14990234375,352670,0,0
303.1166076660156,303.2799987792969,302.8900146484375,303.1300048828125,266193,0,0
303.1361999511719,303.75,302.92999267578125,303.69720458984375,345737,0,0
303.67999267578125,303.8500061035156,303.510009765625,303.6000061035156,251179,0,0
303.6000061035156,303.8999938964844,303.510009765625,303.67999267578125,305645,0,0
303.67999267578125,303.8900146484375,303.30999755859375,303.8399963378906,315215,0,0
303.8399963378906,304.6000061035156,303.7799987792969,304.42999267578125,645431,0,0
304.4100036621094,304.6700134277344,304.3500061035156,304.56500244140625,461186,0,0
304.56500244140625,304.69000244140625,304.1000061035156,304.17999267578125,375880,0,0
304.17840576171875,304.6600036621094,304.156494140625,304.3800048828125,385977,0,0
304.3900146484375,304.67999267578125,304.20001220703125,304.5299987792969,350843,0,0
304.5400085449219,304.6099853515625,304.20001220703125,304.31939697265625,326411,0,0
